method,mean_target_energy_mean,mean_target_energy_std,energy_error_mean,energy_error_std,mode_coverage_mean,mode_coverage_std,mode_weight_error_mean,mode_weight_error_std,mode_center_error_mean,mode_center_error_std,within_mode_variance_error_mean,within_mode_variance_error_std,sliced_wasserstein_mean,sliced_wasserstein_std,runtime_mean,runtime_std
Target,3.457189933892761,0.09521173413395796,0.08391514752497384,0.04711885307270085,2.0,0.0,0.07733333333333334,0.039327683210007,0.1801051773127312,0.056306963060549844,0.15341657635974112,0.038528472195545914,0.4690888570716444,0.08504568293091036,nan,nan
Langevin,3.3786950260240496,0.04651174114907488,0.039966549672753524,0.04539546574342724,2.0,0.0,0.09333333333333331,0.07118052168020877,0.1861097929205592,0.09871684842165726,0.09559363880937281,0.04213050016936818,0.392006115195065,0.08016341392362195,0.05859259139397181,0.008523768446663478
SVGD,3.3544660993146707,0.03138073954978119,0.06315514010112784,0.03138073954978119,2.0,0.0,0.018666666666666665,0.010954451150103307,0.04618644402367332,0.017345280613301005,0.1025587665615247,0.04549256637105901,0.3120866736362541,0.07644449894984295,0.3275365918059833,0.04689020197457298
