step_size,method,seed,density_error,left_mass,right_mass,learned_mean,learned_second_moment,test_nll,runtime_seconds,particle_mean,particle_std,stable
0.03,Langevin,117,0.00812503881752491,0.23024985194206238,0.76975017786026,1.254305124282837,5.614101409912109,2.0601906776428223,2.5906494579976425,1.1513316631317139,1.855031967163086,True
0.03,Langevin,127,0.0020643339958041906,0.3719152510166168,0.6280847787857056,0.5186583995819092,5.307950496673584,2.0262529850006104,2.5839662090002093,0.7403215169906616,2.1670897006988525,True
0.03,Langevin,137,0.018690183758735657,0.1563379168510437,0.8436620831489563,1.7033090591430664,6.401081085205078,2.1633758544921875,2.600696292007342,0.7473598718643188,2.2250635623931885,True
0.03,Langevin,147,0.003616931615397334,0.363861083984375,0.636138916015625,0.5051003098487854,5.121153831481934,2.027240037918091,2.576976333017228,0.5566331744194031,2.441622495651245,True
0.05,Langevin,107,0.005246136337518692,0.41800713539123535,0.5819928050041199,0.22736388444900513,5.236124515533447,2.030008316040039,2.587063709012,-0.045106105506420135,2.286562442779541,True
0.05,Langevin,117,0.015464826487004757,0.1931421011686325,0.8068579435348511,1.4469681978225708,5.642589569091797,2.0891919136047363,2.5857259999902453,1.3916335105895996,1.8590444326400757,True
0.05,Langevin,127,0.0044988589361310005,0.27186596393585205,0.728134036064148,1.0595725774765015,5.647284030914307,2.0396573543548584,2.5903369169973303,1.199215054512024,2.040900468826294,True
0.05,Langevin,137,0.0018294249894097447,0.3694119453430176,0.6305879950523376,0.5415081977844238,5.218515396118164,2.015882730484009,2.5918786250113044,0.005596880801022053,2.310328722000122,True
0.05,Langevin,147,0.003546411171555519,0.3081934452056885,0.6918065547943115,0.7962651252746582,5.12986946105957,2.0203351974487305,2.599434832984116,1.0405899286270142,2.2723805904388428,True
0.1,Langevin,107,0.014024854637682438,0.1940908432006836,0.8059091567993164,1.4076895713806152,5.55042028427124,2.0726685523986816,2.5925397089740727,0.9827941656112671,2.1918833255767822,True
0.1,Langevin,117,0.0032188119366765022,0.29392266273498535,0.7060773968696594,0.9048587083816528,5.269824981689453,2.013286828994751,2.5739155000192113,0.7916792035102844,2.2184603214263916,True
0.1,Langevin,127,0.002342493971809745,0.29960694909095764,0.7003930807113647,0.896994948387146,5.325799465179443,2.0198256969451904,2.602987166988896,1.0389236211776733,2.061527967453003,True
0.1,Langevin,137,0.001803700695745647,0.3346487283706665,0.665351152420044,0.7204753160476685,5.144150733947754,2.011819839477539,2.5680412910005543,0.6676585674285889,2.208517074584961,True
0.1,Langevin,147,0.009217370301485062,0.4588603377342224,0.5411397814750671,0.04973180964589119,5.10749626159668,2.0590054988861084,2.8095036250015255,0.0998956486582756,2.394737958908081,True
0.2,Langevin,107,0.010859968140721321,0.23809032142162323,0.7619096040725708,1.1444365978240967,5.044406890869141,2.0272767543792725,2.5953495840076357,1.1274333000183105,1.969253659248352,True
0.2,Langevin,117,0.005462935194373131,0.2848418653011322,0.7151581048965454,0.9324692487716675,5.152884006500244,2.0160648822784424,2.5858863750181627,0.764536440372467,2.1848578453063965,True
0.2,Langevin,127,0.0030485624447464943,0.32863035798072815,0.6713696718215942,0.7301536202430725,5.090117454528809,2.0172808170318604,2.587781542009907,0.7644824981689453,2.1204633712768555,True
0.2,Langevin,137,0.017537223175168037,0.19609799981117249,0.8039020299911499,1.389482021331787,5.369893550872803,2.082399845123291,2.605291166983079,1.119404673576355,2.084717273712158,True
0.2,Langevin,147,0.006801946088671684,0.2848919928073883,0.7151079177856445,0.9074835777282715,5.045592784881592,2.024285316467285,2.5859212079958525,0.642689049243927,2.1851277351379395,True
